"TANDIL BACKEND — API INDEX (each row = one unique API: METHOD + path; duplicates from Postman removed)",,,,,,,
,,,,,,,
"HOW TO USE THIS FILE",,,,,,,
"Sort or filter by column ""Audience"" for Client, Admin, Supervisor, etc. Use ""Postman root folder"" to jump to the same top folder in Postman.",,,,,,,
,,,,,,,
"WHERE EACH USER TYPE STARTS IN POSTMAN (folder numbers match tandil_backend.json)",,,,,,,
"Shared / entry","Folder ""1. Health Check - START HERE"" (health check first; wallet summaries listed here are shared across roles).",,,,,,,
"All roles","Folder ""2. Authentication"" (register, login, password, email verification).",,,,,,,
Client,"Folders ""3."" through ""8."" (profile, subscriptions, banners, visits, reports, shop & orders; payments under ""8."").",,,,,,,
Technician,"Folder ""9. Technician Dashboard – All APIs"".",,,,,,,
Supervisor,"Folder ""10. Supervisor Dashboard – All APIs"".",,,,,,,
"Area Manager","Folder ""11. Area Manager Dashboard – All APIs"".",,,,,,,
"HR Manager","Folder ""12. HR Manager Dashboard – All APIs"".",,,,,,,
Admin,"Folders ""13."" through ""16."" (stats & users, reports, support tickets, settings).",,,,,,,
"Cross-role / other","Folder ""17. Other Modules"" (e.g. notifications hub, shared utilities).",,,,,,,
,,,,,,,
"Sr. No.",Audience,"Postman root folder",Name,"Module (full path in Postman)",Methods,Endpoint,Status
26,"Client — folders 3–8 in Postman (profile → shop)","4. Client Dashboard – Subscriptions","Update Subscription","4. Client Dashboard – Subscriptions",PUT,/api/subscriptions/{{subscription_id}},Active
27,"Client — folders 3–8 in Postman (profile → shop)","4. Client Dashboard – Subscriptions","Delete Subscription","4. Client Dashboard – Subscriptions",DELETE,/api/subscriptions/{{subscription_id}},Active
28,"Client — folders 3–8 in Postman (profile → shop)","5. Client Dashboard – Banners (Public)","Get Active Banners","5. Client Dashboard – Banners (Public)",GET,/api/banners,Active
29,"Client — folders 3–8 in Postman (profile → shop)","6. Client Dashboard – Visits","List Visits","6. Client Dashboard – Visits",GET,/api/visits,Active
30,"Client — folders 3–8 in Postman (profile → shop)","6. Client Dashboard – Visits","List Areas (for visit creation)","6. Client Dashboard – Visits",GET,/api/visits/areas,Active
31,"Client — folders 3–8 in Postman (profile → shop)","6. Client Dashboard – Visits","Resolve Area from Location","6. Client Dashboard – Visits",POST,/api/visits/resolve-area,Active
32,"Client — folders 3–8 in Postman (profile → shop)","6. Client Dashboard – Visits","Get Visit Details","6. Client Dashboard – Visits",GET,/api/visits/{{visit_id}},Active
33,"Client — folders 3–8 in Postman (profile → shop)","6. Client Dashboard – Visits","Create Visit","6. Client Dashboard – Visits",POST,/api/visits,Active
34,"Client — folders 3–8 in Postman (profile → shop)","6. Client Dashboard – Visits","Update Visit","6. Client Dashboard – Visits",PUT,/api/visits/{{visit_id}},Active
35,"Client — folders 3–8 in Postman (profile → shop)","6. Client Dashboard – Visits","Upload Visit Photo","6. Client Dashboard – Visits",POST,/api/visits/{{visit_id}}/upload-photo,Active
36,"Client — folders 3–8 in Postman (profile → shop)","6. Client Dashboard – Visits","Delete Visit Photo (Maintenance Photo)","6. Client Dashboard – Visits",DELETE,/api/visits/{{visit_id}}/photos/{{photo_id}},Active
37,"Client — folders 3–8 in Postman (profile → shop)","7. Client Dashboard – Reports","List Reports","7. Client Dashboard – Reports",GET,/api/reports,Active
38,"Client — folders 3–8 in Postman (profile → shop)","7. Client Dashboard – Reports","Get Report Details","7. Client Dashboard – Reports",GET,/api/reports/{{report_id}},Active
39,"Client — folders 3–8 in Postman (profile → shop)","7. Client Dashboard – Reports","Create Report","7. Client Dashboard – Reports",POST,/api/reports,Active
40,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Shop settings (GET)","8. Client Dashboard – Shop & Orders > A. Shop settings & order totals",GET,/api/shop/settings,Active
41,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Shop settings (PUT)","8. Client Dashboard – Shop & Orders > A. Shop settings & order totals",PUT,/api/shop/settings,Active
42,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Order summary (GET)","8. Client Dashboard – Shop & Orders > A. Shop settings & order totals",GET,/api/shop/order-summary,Active
43,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Buy now summary (POST)","8. Client Dashboard – Shop & Orders > A. Shop settings & order totals",POST,/api/shop/buy-now/summary,Active
44,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Cart - Add Item","8. Client Dashboard – Shop & Orders > B. Shopping cart",POST,/api/shop/cart/add,Active
45,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Cart - View","8. Client Dashboard – Shop & Orders > B. Shopping cart",GET,/api/shop/cart,Active
46,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Cart - Update Quantity","8. Client Dashboard – Shop & Orders > B. Shopping cart",PUT,/api/shop/cart/{{cart_item_id}},Active
47,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Cart - Remove Item","8. Client Dashboard – Shop & Orders > B. Shopping cart",DELETE,/api/shop/cart/{{cart_item_id}},Active
48,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Checkout - Review","8. Client Dashboard – Shop & Orders > C. Checkout preview",GET,/api/shop/checkout/review,Active
49,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - List","8. Client Dashboard – Shop & Orders > D. My orders (shop prefix)",GET,/api/shop/orders,Active
