SNo,Module,Method,Endpoint,Status
1,1. Health Check - START HERE,GET,/api/health,Done
2,1. Health Check - START HERE,GET,/api/debug/performance,Done
3,Language APIs (All Dashboards),GET,/api/user/language,Done
4,Language APIs (All Dashboards),POST,/api/user/language,Done
5,Localized articles (multilingual demo),GET,/api/localized-articles,Done
6,Localized articles (multilingual demo),GET,/api/localized-articles/welcome-guide,Done
7,Admin Wallet APIs,GET,/api/admin/wallet/overview,Done
8,Admin Wallet APIs,GET,/api/admin/wallet/credits,Done
9,Admin Wallet APIs,GET,/api/admin/wallet/users/{id},Done
10,Admin – /api/admin/notifications,GET,/api/admin/notifications/delivery-stats,Done
11,Admin – /api/admin/notifications,POST,/api/admin/notifications/broadcast,Done
12,Admin – /api/admin/notifications,GET,/api/admin/notifications/broadcasts,Done
13,Admin – /api/admin/notifications,GET,/api/admin/notifications/broadcasts/{id},Done
14,Admin – /api/admin/notifications,GET,/api/admin/notifications,Done
15,Admin – /api/admin/notifications,POST,/api/admin/notifications/{id}/mark-read,Done
16,Admin – /api/admin/notifications,POST,/api/admin/notifications/mark-all-read,Done
17,Admin – /api/admin/notifications,DELETE,/api/admin/notifications/{id},Done
18,Admin – /api/admin/notifications,POST,/api/admin/notifications/clear-all,Done
19,Vendor – /api/vendor/notifications,GET,/api/vendor/notifications,Done
20,Vendor – /api/vendor/notifications,POST,/api/vendor/notifications/{id}/mark-read,Done
21,Vendor – /api/vendor/notifications,POST,/api/vendor/notifications/clear-all,Done
22,3. Authentication,POST,/api/auth/register,Done
23,3. Authentication,GET,/api/auth/app-roles,Done
24,3. Authentication,POST,/api/auth/login,Done
25,3. Authentication,POST,/api/auth/delete-account,Done
26,3. Authentication,POST,/api/auth/google,Done
27,3. Authentication,POST,/api/auth/apple,Done
28,3. Authentication,GET,/api/auth/technician-signup-areas,Done
29,3. Authentication,POST,/api/auth/register-technician,Done
30,3. Authentication,GET,/api/vendor/auth/registration-options,Done
31,3. Authentication,POST,/api/vendor/auth/register,Done
32,3. Authentication,POST,/api/vendor/auth/login,Done
33,3. Authentication,GET,/api/vendor/auth/me,Done
34,3. Authentication,POST,/api/vendor/auth/logout,Done
35,A. Auth & Account,GET,/api/auth/profile,Done
36,A. Auth & Account,POST,/api/auth/logout,Done
37,A. Auth & Account,DELETE,/api/user/account,Done
38,A. Auth & Account,POST,/api/auth/forgot-password,Done
39,A. Auth & Account,POST,/api/auth/verify-otp,Done
40,A. Auth & Account,POST,/api/auth/reset-password,Done
41,B. Dashboard & Memberships,GET,/api/client/settings/sections,Done
42,B. Dashboard & Memberships,GET,/api/client/settings/dashboard,Done
